diameter,bending angle,velocityofbending,velocityofbooster,relative thickness,relative radius,extention of mandrel,friction of mandrel,firction of pressure die,firction of wiper die,forming temp,label in rad,label in deg
64.22900989,44.7300286,0.799277085,1.333388776,0.054296581,3.071091748,0.037620448,0.062627428,0.195222631,0.247231488,437.3014059,0.069186978,3.96412186
61.65471322,83.45516487,0.981350325,1.374325587,0.060806657,2.774291188,0.689767369,0.156579194,0.203732716,0.19592722,144.7311754,0.152629568,8.7450301
67.18078902,126.6909157,1.331023883,0.887365664,0.043123871,2.561856281,0.615348593,0.143195502,0.103465148,0.167347708,554.1832141,0.109906388,6.297172198
62.07437687,71.28681199,1.068222139,0.857470647,0.081365369,4.314416875,0.172769385,0.050852164,0.196130643,0.190708041,594.9750872,0.096045848,5.503021754
43.45611193,42.60966413,0.786440263,1.480374053,0.046360257,2.745145995,0.068161536,0.184423487,0.19468059,0.24018458,207.412015,0.103471258,5.928466408
21.29422359,92.56524244,1.484807145,1.102295126,0.090312384,4.477121026,0.821130073,0.070227751,0.186689283,0.230380226,225.5958469,0.205039468,11.74789617
36.72524415,52.03559458,1.1437079,1.218701216,0.08925003,2.905391763,0.639451001,0.197830812,0.161579884,0.207196126,148.3926897,0.115495608,6.617410916
65.40258444,59.94653231,0.849157999,0.876815217,0.0610006,3.674984659,0.184428334,0.190805916,0.107102217,0.134210727,36.92629154,0.187218428,10.7268258
59.95872166,122.9361055,1.162660074,1.459522851,0.036097363,2.709814211,0.761158824,0.115880488,0.119554054,0.147961449,159.6526976,0.194975588,11.17127832
61.94312223,90.90478577,0.818657534,1.46213895,0.071852968,4.074802757,1.165331339,0.188315466,0.1466697,0.159393394,211.3725578,0.181022816,10.37184338
53.47925158,126.2125861,0.795085318,1.150441965,0.069858178,4.033594383,0.145857254,0.180078525,0.217300066,0.13484452,112.6612254,0.286236728,16.40015648
33.53372944,40.0252401,1.495510312,1.300187754,0.089583938,3.95214,0.382216682,0.099909466,0.161167956,0.205670616,548.6645808,0.080056828,4.58691839
68.79233466,32.47464007,1.338403422,1.098436291,0.093005377,3.447925104,0.711890938,0.096926591,0.227234602,0.248202204,589.0674548,0.010824614,0.620204722
35.25692134,54.60012127,0.915574095,1.008334578,0.07126194,3.022557349,1.059994452,0.152611146,0.191680644,0.241247497,290.0403853,0.058437176,3.348203576
43.12491475,115.663562,1.492071481,1.124011395,0.055562823,3.247163513,0.950656718,0.171115682,0.161741977,0.222767964,460.2314456,0.125452556,7.187902012
66.78265732,35.09145537,1.185235048,0.890617808,0.094435764,3.924363307,0.149060695,0.10055956,0.116559512,0.23559955,259.6495676,0.111070298,6.363859328
